word,count
abbe,3
abed,1
abel,20
aber,1
able,216
ably,2
abra,1
aces,4
acey,3
ache,4
acid,13
acre,10
acth,1
acts,39
adam,44
adds,10
aeon,1
afar,2
aged,18
agee,1
ages,51
agin,2
ague,1
ahah,1
ahem,1
aida,1
aide,9
aids,27
aiee,1
aimo,5
aims,16
ainu,1
airs,3
airy,7
ajar,2
akin,10
alai,1
alan,5
alas,10
alba,1
aldo,1
alec,25
alex,30
alfa,1
alia,1
alix,2
alla,2
ally,9
alma,7
alps,2
also,1069
alto,4
alum,1
alva,2
amen,19
amid,14
amis,1
ammo,4
amos,3
amra,1
andy,33
anew,6
anna,7
anne,42
anta,5
ante,3
anti,1
ants,7
anye,1
apex,4
arab,2
arak,1
arch,13
arco,1
arcs,8
area,324
ares,1
arid,2
arms,121
army,132
arte,4
arts,66
arty,1
aryl,1
asch,1
asia,44
asks,18
asme,1
aspr,1
atom,37
atop,6
atta,2
attu,1
aunt,22
aura,1
auto,22
avec,1
avid,1
avis,1
aviv,1
avon,1
away,456
awed,5
awoc,5
awry,2
axes,7
axis,38
axle,5
ayes,1
ayub,1
babe,8
baby,62
bach,4
baci,1
back,966
bade,1
bads,1
baer,5
bagh,1
bags,10
bahi,1
bail,7
bait,2
bake,12
baku,1
bald,5
bale,5
bali,2
ball,110
band,53
bang,7
bani,1
bank,83
bans,1
bard,3
bare,29
bari,14
bark,14
barn,29
barr,1
bars,40
base,91
bass,16
bast,1
bath,26
bats,6
baum,2
bawh,2
bays,2
bead,1
beam,21
bean,5
bear,57
beat,68
beau,2
beck,1
bede,3
beds,12
beef,31
been,2472
beep,4
beer,35
bees,15
begs,1
bein,1
bela,1
bell,18
belt,29
bend,24
bent,34
bern,5
bert,1
bess,3
best,351
beta,2
bete,1
beth,5
bets,3
bevo,2
bevy,3
bhoy,1
bias,8
bibb,1
bich,1
bide,1
bids,6
bien,1
bile,3
bill,143
bind,4
bing,2
bini,1
bins,2
bird,31
bite,10
bits,12
biwa,9
bled,3
blew,12
blob,2
bloc,10
blot,6
blow,33
blue,143
blum,2
blur,3
boal,1
boar,1
boat,72
boaz,2
bock,1
body,276
bogy,2
boil,12
bois,2
bold,21
bolo,1
bolt,10
bomb,36
bona,1
bond,46
bone,33
bong,6
bonn,6
bony,7
book,197
boom,8
boon,3
boos,2
boot,13
bore,24
born,113
boss,20
both,730
boun,5
bout,5
bowl,23
bows,3
boxy,1
boyd,5
boys,143
brad,1
brae,1
brag,2
bran,1
bred,1
brew,4
brig,1
brim,4
brod,1
brok,1
brow,6
bryn,2
buck,20
bucs,1
budd,5
buds,5
buff,5
bugs,8
bulb,7
bulk,16
bull,14
bump,5
bums,2
bunk,18
buns,8
bunt,3
buri,3
burl,2
burn,15
burr,7
burt,1
bury,6
bush,14
