word,count
aahed,0
aalii,0
aargh,0
aaron,7
abaca,0
abaci,0
aback,2
abada,0
abaff,0
abaft,0
abaka,0
abama,0
abamp,0
aband,0
abase,0
abash,0
abask,0
abate,0
abaue,0
abave,0
abaze,0
abbas,2
abbes,0
abbey,7
abbie,0
abbot,2
abdal,0
abdat,0
abdom,0
abeam,0
abear,0
abede,0
abele,0
abell,1
abend,0
aberr,0
abets,0
abhor,0
abide,7
abidi,0
abies,0
abilo,0
abime,0
abkar,0
abler,2
ables,0
ablet,0
ablow,0
abmho,0
abner,1
abnet,0
abode,4
abody,0
abohm,0
aboil,0
aboma,0
aboon,0
abord,0
abort,0
abote,0
about,1815
above,296
abram,0
abray,0
abret,0
abrim,0
abrin,0
abris,0
abrus,0
absee,0
absey,0
absis,0
absit,0
abstr,0
abuna,0
abune,0
abura,0
abuse,18
abush,0
abuta,0
abuts,0
abuzz,0
abwab,0
abyes,0
abysm,0
abyss,4
acala,5
acale,0
acana,0
acapu,0
acara,0
acari,0
acast,0
acate,0
accel,0
accoy,0
accra,0
accts,0
accum,0
accur,0
accus,0
acedy,0
acerb,0
aceta,0
achar,0
ached,3
achen,0
acher,0
aches,1
achoo,0
achor,0
acids,7
acidy,0
acier,0
acies,0
acing,0
acini,0
ackee,0
acker,0
ackey,0
aclys,0
acmes,0
acmic,0
acned,0
acnes,0
acock,0
acoin,0
acold,0
acoma,0
acone,0
acool,0
acorn,0
acost,0
acoup,0
acrab,0
acred,0
acres,44
acrid,1
acroa,0
acron,0
acrux,0
acryl,0
acted,18
actin,0
acton,0
actor,24
actos,0
actus,0
acuan,0
acute,13
acyls,0
adage,3
adagy,0
adair,2
adame,1
adamo,1
adams,42
adapa,0
adapt,5
adati,0
adaty,0
adawe,0
adawn,0
adays,0
adcon,0
addax,0
addda,0
added,172
adder,0
addie,0
addio,0
addis,0
addle,0
addnl,0
adead,0
adeem,0
adeep,0
adela,0
adele,2
adeps,0
adept,4
adfix,0
adiel,0
adieu,1
adion,0
adios,6
adits,0
adjag,0
adlai,7
adlay,0
adler,3
adlet,0
adman,0
admen,0
admin,0
admit,37
admix,0
admov,0
admrx,0
adnan,1
adnex,0
adobe,2
adobo,0
adolf,4
adopt,13
adore,2
adorn,1
adown,0
adoxa,0
adoxy,0
adoze,0
adpao,0
adrad,0
adrar,1
adret,0
adrip,0
adrop,0
adrue,0
adsum,0
adult,25
adunc,0
adure,0
adusk,0
adust,0
adyta,0
adzer,0
adzes,0
aecia,0
aedes,0
aeger,0
aegir,0
aegis,1
aegle,0
aeons,0
aequi,0
aeric,0
aerie,0
aeron,0
aesir,0
aesop,0
aetat,0
aevia,0
aevum,0
aface,0
afara,0
afars,0
afear,0
affix,1
afgod,0
afifi,0
afire,1
aflat,0
afley,0
aflow,0
afoam,0
afoot,1
afore,0
afoul,0
