word,count
abandon,17
abatuno,1
abdomen,6
abelson,1
abetted,4
abiding,5
abigail,2
abilene,2
ability,74
ablated,1
abolish,8
abounds,1
abraham,6
abreast,5
abroade,1
absence,53
absorbs,1
abstain,1
abusive,1
abysmal,2
academy,24
accacia,4
accardo,1
acceded,1
accents,5
accepts,6
acclaim,4
accords,1
account,117
accrued,3
accrues,1
accused,25
accuses,2
acetate,7
acetone,4
acheson,2
achieve,51
acidity,1
ackerly,1
acolyte,1
acourse,1
acquire,27
acreage,11
acrylic,11
actions,68
actives,8
actress,6
actuate,1
acutely,5
adagios,1
adamant,5
adamson,1
adapted,13
adapter,1
addabbo,2
addicts,4
addison,1
address,77
adhered,5
adheres,1
adjoins,2
adjunct,6
adjusts,2
admassy,2
admired,17
admirer,3
admires,1
admixed,1
adopted,45
adorned,1
adrenal,2
adsorbs,1
advance,59
adverbs,2
adverse,11
advised,33
adviser,6
advises,2
advisor,1
aerated,9
aerates,1
aerator,11
aerials,1
aerobic,1
aerosol,7
affable,1
affaire,1
affairs,84
affects,19
affirms,1
affixed,14
affords,5
affront,2
afghans,1
afranio,1
african,28
afrique,1
against,627
ageless,2
agilely,1
agility,3
agitate,1
agnomen,1
agonale,1
agonies,1
agrippa,1
ailment,4
aimless,5
ainsley,1
airflow,1
airless,2
airlift,1
airline,2
airlock,1
airmail,4
airpark,1
airport,19
airways,6
alabama,20
alamein,1
alarmed,8
alastor,4
albania,3
alberto,2
albumin,10
alchemy,1
alcohol,13
alcoves,5
alerted,3
alertly,1
alessio,1
alfonso,1
alfredo,3
algebra,2
algeria,2
alienus,1
aligned,6
alimony,2
alkalis,2
alleged,10
allegro,2
allergy,1
allison,1
alloted,1
allowed,86
alluded,1
alludes,1
almaden,1
almanac,1
almonds,3
alperts,1
already,273
altered,22
althaus,1
alumnae,1
alundum,1
alvarez,3
alveoli,4
amateur,25
amatory,1
amazing,20
amazons,1
ambling,1
ambrose,1
amended,14
america,194
amiable,2
amongst,4
amorist,1
amorous,2
amounts,44
amplify,1
amulets,1
amusing,14
anagram,1
analogy,13
analyst,7
analyze,10
anarchy,7
anatole,1
anatomy,9
anchors,2
anchovy,1
ancient,69
andover,3
andrena,7
andrews,2
angeles,47
angelic,2
angered,1
angling,1
angrily,7
anguish,8
angular,16
aniline,1
animals,58
animate,1
animism,1
anionic,10
annoyed,7
anomaly,1
another,684
anouilh,1
anselmo,1
answers,44
antares,1
antenna,13
anthems,1
anthony,16
anticus,1
antigen,12
antique,12
antoine,1
antonio,6
anxiety,42
anxious,29
anybody,42
anymore,5
anythin,1
anytime,1
anyways,1
apaches,4
apology,3
apostle,2
apparel,3
appeals,19
appears,84
appease,2
applaud,5
appleby,1
applied,106
applies,19
appoint,6
approve,14
apricot,1
apropos,1
aptness,1
aqueous,14
aquinas,2
arabian,2
aransas,1
arbiter,5
arcaded,1
arcades,2
archaic,5
archery,1
arching,1
arcilla,1
arclike,1
ardmore,1
arduous,4
arenula,1
areosol,1
arguing,10
ariadne,3
aridity,2
arigato,1
arising,11
arizona,9
arleigh,1
armhole,3
armload,1
armoire,1
armored,3
armpits,1
arousal,3
aroused,20
arouses,2
arragon,1
arrange,10
arrayed,2
arrears,6
arrests,3
arrival,23
arrived,62
arrives,7
arrowed,1
arsenal,3
arsenic,1
arsines,1
artemis,1
article,68
artisan,2
artists,55
artkino,1
artless,2
arundel,5
ascetic,1
ascribe,1
aseptic,1
ashamed,16
asiatic,1
asinine,2
askance,1
asocial,1
aspects,64
asphalt,3
aspired,1
aspires,1
aspirin,3
assault,15
assayed,1
asserts,5
assigns,4
assists,1
assumed,72
assumes,8
assured,39
assures,6
astarte,1
asteria,2
astound,1
astride,3
astwood,1
asunder,1
aterman,1
athalie,2
athearn,1
athlete,9
atlanta,35
atrophy,4
attacks,22
attains,1
attempt,95
attends,6
attilio,1
attired,1
attopeu,1
attract,19
attuned,3
atwells,1
auberge,1
auction,4
audible,4
audibly,1
audited,2
auditor,1
audubon,5
augment,2
augusta,6
aurally,2
austere,5
austria,4
authors,23
autopsy,3
availed,2
avarice,2
avenues,5
average,130
averell,2
averted,3
aviator,3
avidity,1
avocado,10
avoided,19
awaited,7
awakens,1
awarded,17
awesome,4
awfully,10
awkward,11
awnings,2
axially,1
aysshom,1
azaleas,3
babbitt,2
babbled,2
babcock,1
babylon,2
bacchus,1
backers,4
backing,8
backlog,5
badness,9
badrawi,1
baffled,5
baggage,4
bagpipe,1
bailiff,6
bailing,3
baklava,1
balance,90
balcolm,1
balcony,5
balding,2
baldwin,2
baleful,1
balkans,2
balking,1
ballads,7
ballard,1
ballast,2
ballets,4
balling,1
balloon,10
ballots,2
balsams,1
bananas,1
banbury,1
bandage,4
banding,1
bandish,1
bandits,3
baneful,1
banging,4
bangish,1
bangkok,1
