track_name,album_single,year,nZk,vocalist
determination,Ns'あおい,2006,0,河合夕子
determination,Ns'あおい,2006,0,仁科かおり
determination,Ns'あおい,2006,0,石塚真美
determination,Ns'あおい,2006,0,齋藤典子
determination,Ns'あおい,2006,0,玉木裕子
Habit,Ns'あおい,2006,0,
pride,Ns'あおい,2006,0,
Limit,Ns'あおい,2006,0,
black overall,Ns'あおい,2006,0,
not at all,Ns'あおい,2006,0,
Habit <flute ver.>,Ns'あおい,2006,0,
pride <guitar & strings quartet ver.>,Ns'あおい,2006,0,
determination <piano & strings quartet ver.>,Ns'あおい,2006,0,
Destination,Ns'あおい,2006,0,
禁断の戦い,牙狼<GARO>,2006,0,
危機,牙狼<GARO>,2006,0,
真魔界突入,牙狼<GARO>,2006,0,
陰我消滅の晩,牙狼<GARO>,2006,0,
暗黒騎士,牙狼<GARO>,2006,0,
掴み取った愛,牙狼<GARO>,2006,0,
守りし者として,牙狼<GARO>,2006,0,
暗黒へ向かう者,牙狼<GARO>,2006,0,
信じ合う心,牙狼<GARO>,2006,0,
大魔導陣の激闘,牙狼<GARO>,2006,0,
英霊,牙狼<GARO>,2006,0,
Catch a Waveのテーマ,Catch a Wave,2006,0,
Dreams,Catch a Wave,2006,0,
祈り,Catch a Wave,2006,0,
ひと夏の恋,Catch a Wave,2006,0,
Surf Battle,Catch a Wave,2006,0,
Take Off,Catch a Wave,2006,0,
Blue Dragon,医龍 -Team Medical Dragon-,2006,0,
pain,医龍 -Team Medical Dragon-,2006,0,
Red Dragon,医龍 -Team Medical Dragon-,2006,0,
grimace,医龍 -Team Medical Dragon-,2006,0,
Walea,医龍 -Team Medical Dragon-,2006,0,
SPIKE,医龍 -Team Medical Dragon-,2006,0,RxCx...ALL STARS
Rin,医龍 -Team Medical Dragon-,2006,0,河合夕子
Rin,医龍 -Team Medical Dragon-,2006,0,澤野彩子
sifle a yawn,医龍 -Team Medical Dragon-,2006,0,
Tu-Ru-La,医龍 -Team Medical Dragon-,2006,0,河合夕子
Tu-Ru-La,医龍 -Team Medical Dragon-,2006,0,仁科かおり
Blue Dragon <piano & guitar Ver>,医龍 -Team Medical Dragon-,2006,0,
Tide Over,医龍 -Team Medical Dragon-,2006,0,
Lie & Truth,医龍 -Team Medical Dragon-,2006,0,
unnecessary words,医龍 -Team Medical Dragon-,2006,0,
disturb,医龍 -Team Medical Dragon-,2006,0,
Kahiwa,医龍 -Team Medical Dragon-,2006,0,
cross,医龍 -Team Medical Dragon-,2006,0,
pain <piano solo Ver.>,医龍 -Team Medical Dragon-,2006,0,
spirit,医龍 -Team Medical Dragon-,2006,0,
Aesthetic,医龍 -Team Medical Dragon-,2006,0,関山藍果
Believe <Instrumental>,医龍 -Team Medical Dragon-,2006,0,
CRISIS,Soul Link,2006,0,
方舟,Soul Link,2006,0,
共和,Soul Link,2006,0,
for you,Soul Link,2006,0,
ハララクス,Soul Link,2006,0,
Accident,Soul Link,2006,0,
Rival,Soul Link,2006,0,
鎖された真実,Soul Link,2006,0,
for you <Gt.Ver.>,Soul Link,2006,0,
Love Theme,Soul Link,2006,0,
レクイエム,Soul Link,2006,0,
削られた記憶,Soul Link,2006,0,
Danger,Soul Link,2006,0,
Fight a Hard Battle,Soul Link,2006,0,
あたたかい声,Soul Link,2006,0,
Mr.MORIMOTO,Soul Link,2006,0,
夕星,Soul Link,2006,0,
Cheer up!,Soul Link,2006,0,
止まった時計,Soul Link,2006,0,
陰謀,Soul Link,2006,0,
Mission,Soul Link,2006,0,
go in,Soul Link,2006,0,
screaming <Instrument Ver.>,Soul Link,2006,0,
すれちがい,Soul Link,2006,0,
for you <オルゴール Ver.>,Soul Link,2006,0,
MURDER,Soul Link,2006,0,
沈黙の闇,Soul Link,2006,0,
スキュラ,Soul Link,2006,0,
despair,Soul Link,2006,0,
CELLARIA,Soul Link,2006,0,
クリスタル,Soul Link,2006,0,
眼光,Soul Link,2006,0,
暁光,Soul Link,2006,0,
white AIR,Soul Link,2006,0,
レクイエム <Piano Solo Ver.>,Soul Link,2006,0,
from sunset to sunrise,タイヨウのうた,2006,0,
back in the sun,タイヨウのうた,2006,0,河合夕子
back in the sun,タイヨウのうた,2006,0,永村かおる
SURFBOARD,タイヨウのうた,2006,0,
breeze,タイヨウのうた,2006,0,
STARY,タイヨウのうた,2006,0,
sea shore,タイヨウのうた,2006,0,
nervous,タイヨウのうた,2006,0,
BLOWIN',タイヨウのうた,2006,0,
from sunset to sunrise<piano & strings ver.>,タイヨウのうた,2006,0,河合夕子
from sunset to sunrise<piano & strings ver.>,タイヨウのうた,2006,0,永村かおる
bloom,タイヨウのうた,2006,0,河合夕子
bloom,タイヨウのうた,2006,0,永村かおる
splash,タイヨウのうた,2006,0,
hook,タイヨウのうた,2006,0,
unbalance,タイヨウのうた,2006,0,
in hurry,タイヨウのうた,2006,0,
BLOWIN' <piano & strings ver.>,タイヨウのうた,2006,0,
bloom <piano & strings quartet ver.>,タイヨウのうた,2006,0,
Light & Love,タイヨウのうた,2006,0,
from sunset to sunrise <guitar ver.>,タイヨウのうた,2006,0,
タイヨウのうた <strings ver.>,タイヨウのうた,2006,0,
前奏曲(プレリュード) -We are not alone-,夜明け前より瑠璃色な 〜Crescent Love〜（先行シングル）,2006,0,大藤史
symphonic version,夜明け前より瑠璃色な 〜Crescent Love〜（先行シングル）,2006,0,
chorus version,夜明け前より瑠璃色な 〜Crescent Love〜（先行シングル）,2006,0,河合夕子
piano version,夜明け前より瑠璃色な 〜Crescent Love〜（先行シングル）,2006,0,
instrumental,夜明け前より瑠璃色な 〜Crescent Love〜（先行シングル）,2006,0,
今を抱きしめて,夜明け前より瑠璃色な 〜Crescent Love〜（先行シングル）,2006,0,生天目仁美
Instrumental,夜明け前より瑠璃色な 〜Crescent Love〜（先行シングル）,2006,0,
オイディプス戦争,夜明け前より瑠璃色な 〜Crescent Love〜（アルバム）,2007,0,
麻衣のエチュード,夜明け前より瑠璃色な 〜Crescent Love〜（アルバム）,2007,0,
トラットリアへようこそ!,夜明け前より瑠璃色な 〜Crescent Love〜（アルバム）,2007,0,
今を抱きしめて piano & sax version,夜明け前より瑠璃色な 〜Crescent Love〜（アルバム）,2007,0,
お姫様がやってきた!,夜明け前より瑠璃色な 〜Crescent Love〜（アルバム）,2007,0,
フィーナの微笑み,夜明け前より瑠璃色な 〜Crescent Love〜（アルバム）,2007,0,
波音が呼んでいる!,夜明け前より瑠璃色な 〜Crescent Love〜（アルバム）,2007,0,
愉快な仲間達,夜明け前より瑠璃色な 〜Crescent Love〜（アルバム）,2007,0,
潜入のテーマ,夜明け前より瑠璃色な 〜Crescent Love〜（アルバム）,2007,0,
お姫様に迫る影,夜明け前より瑠璃色な 〜Crescent Love〜（アルバム）,2007,0,
不穏なる許婚,夜明け前より瑠璃色な 〜Crescent Love〜（アルバム）,2007,0,
運命の瞬間,夜明け前より瑠璃色な 〜Crescent Love〜（アルバム）,2007,0,
忍び寄るもの,夜明け前より瑠璃色な 〜Crescent Love〜（アルバム）,2007,0,
宿命の舞台へ,夜明け前より瑠璃色な 〜Crescent Love〜（アルバム）,2007,0,
揺れ動く想い,夜明け前より瑠璃色な 〜Crescent Love〜（アルバム）,2007,0,
今を抱きしめて harp version,夜明け前より瑠璃色な 〜Crescent Love〜（アルバム）,2007,0,
月を見上げながら…,夜明け前より瑠璃色な 〜Crescent Love〜（アルバム）,2007,0,
自由への逃走,夜明け前より瑠璃色な 〜Crescent Love〜（アルバム）,2007,0,
反撃開始～ 「前奏曲 -We are not alone-,夜明け前より瑠璃色な 〜Crescent Love〜（アルバム）,2007,0,
そして闘いへ,夜明け前より瑠璃色な 〜Crescent Love〜（アルバム）,2007,0,
愛するものを守るため,夜明け前より瑠璃色な 〜Crescent Love〜（アルバム）,2007,0,
前奏曲 -We are not alone- sax version,夜明け前より瑠璃色な 〜Crescent Love〜（アルバム）,2007,0,
祝福の日 ～瑠璃色の空の下で～,夜明け前より瑠璃色な 〜Crescent Love〜（アルバム）,2007,0,
鋼牙,牙狼<GARO>スペシャル ～白夜の魔獣～,2007,0,
焔の黄金騎士,牙狼<GARO>スペシャル ～白夜の魔獣～,2007,0,
