answer,random_guesses,minimise_vocab_guesses
water,4,5
adorn,3,3
helps,4,3
oiled,4,4
keeps,5,4
corso,3,3
skulk,4,4
roofs,3,4
ennis,4,3
fifth,5,4
howda,4,4
elfin,5,3
lingo,3,4
gates,7,5
human,4,4
seoul,4,3
wisps,4,4
cases,9,4
lippi,4,4
forgo,5,4
sired,3,3
incur,4,2
sense,3,3
knite,5,4
perch,4,4
sieux,4,4
ratio,5,3
rarer,7,5
sired,3,3
randy,4,3
safer,5,3
grape,6,5
space,3,4
worst,5,4
jules,5,4
lloyd,4,4
dicks,6,4
hiram,3,5
byzas,3,4
paces,2,4
caius,5,4
probe,4,3
foggy,7,5
spain,6,4
bilge,3,4
shear,3,3
takin,5,3
hunts,6,3
irons,5,3
booze,3,4
snobs,3,4
rabat,5,3
culte,4,4
jakes,5,5
flynn,5,4
realm,5,4
kafka,4,4
flees,6,4
lathe,5,3
randy,5,3
mckee,4,4
devil,4,3
howdy,3,4
wager,7,4
foley,4,4
secco,3,4
puffy,6,4
choir,5,3
loved,4,3
wryly,4,4
cleft,3,3
mater,4,4
tombs,4,4
staid,4,4
telli,5,4
rosie,4,3
snout,6,3
jessy,3,4
altho,4,3
molal,5,4
fires,4,4
yeats,7,4
furor,5,3
lusty,4,4
dever,5,4
warty,5,4
waldo,5,4
tahse,3,4
award,4,4
emile,4,4
space,5,4
palms,3,5
marmi,6,4
polar,4,3
atune,4,4
sochi,4,4
rival,3,4
shack,5,3
drewe,5,5
othon,5,4
reply,3,5
sunny,5,3
realm,4,4
hoofs,6,5
raimu,3,4
cruel,4,4
story,6,4
olden,4,3
omega,4,4
kanin,4,3
russe,4,4
hewed,5,4
suite,5,3
guide,5,4
holds,5,4
lucia,6,4
negro,5,4
damon,3,4
yooee,5,4
grave,8,5
delia,4,4
glenn,4,4
whirl,4,4
knobs,5,4
howda,6,4
endow,5,3
tenda,3,3
affix,4,4
dussa,4,4
durer,4,3
timed,6,4
stops,4,4
wisps,4,4
boris,4,3
basso,3,4
moved,4,3
nacht,3,3
affix,4,4
shied,5,3
synce,4,3
